127.0.0.1 - - [29/Sep/2015:15:03:05 +0800] "GET HTTP/1.1 " 400 -
127.0.0.1 - - [29/Sep/2015:15:03:09 +0800] "GET /renrenadmin/business/listdo HTTP/1.1" 200 1731
127.0.0.1 - - [29/Sep/2015:15:05:44 +0800] "GET /renrenadmin/business/listdo HTTP/1.1" 200 1731
127.0.0.1 - - [29/Sep/2015:15:05:52 +0800] "GET /renrenadmin/business/list HTTP/1.1" 200 12793
127.0.0.1 - - [29/Sep/2015:15:06:08 +0800] "GET /renrenadmin/business/list HTTP/1.1" 200 12793
127.0.0.1 - - [29/Sep/2015:15:06:43 +0800] "GET /renrenadmin/business/list HTTP/1.1" 200 12793
127.0.0.1 - - [29/Sep/2015:15:06:43 +0800] "GET /renrenadmin/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:43 +0800] "GET /renrenadmin/css/plugins/dataTables/dataTables.bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/js/plugins/metisMenu/jquery.metisMenu.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/js/plugins/slimscroll/jquery.slimscroll.min.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/My97DatePicker/WdatePicker.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/js/inspinia.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/js/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/js/layer.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/img/profile_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/css/animate.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:44 +0800] "GET /renrenadmin/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:45 +0800] "GET /renrenadmin/css/admin.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:45 +0800] "GET /renrenadmin/js/jquery-2.1.1.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:45 +0800] "GET /renrenadmin/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:45 +0800] "GET /renrenadmin/css/plugins/skin/layer.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:06:45 +0800] "GET /renrenadmin/css/patterns/header-profile.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Sep/2015:15:08:06 +0800] "GET /renrenadmin/business/list HTTP/1.1" 200 12768
